pit_duration,lap_number,driver_number,date,session_key,meeting_key
,1.0,55,2024-09-20T09:30:56.647000+00:00,9599,1246
,1.0,10,2024-09-20T09:31:10.638000+00:00,9599,1246
,1.0,1,2024-09-20T09:31:11.896000+00:00,9599,1246
,1.0,14,2024-09-20T09:31:14.052000+00:00,9599,1246
,1.0,18,2024-09-20T09:31:16.748000+00:00,9599,1246
,1.0,20,2024-09-20T09:31:19.058000+00:00,9599,1246
,1.0,4,2024-09-20T09:31:27.995000+00:00,9599,1246
,1.0,27,2024-09-20T09:32:26.329000+00:00,9599,1246
,1.0,43,2024-09-20T09:33:52.471000+00:00,9599,1246
,1.0,23,2024-09-20T09:34:26.059000+00:00,9599,1246
42.3,6.0,55,2024-09-20T09:41:33.408000+00:00,9599,1246
,1.0,81,2024-09-20T09:42:03.839000+00:00,9599,1246
39.5,6.0,27,2024-09-20T09:42:51.084000+00:00,9599,1246
860.2,3.0,3,2024-09-20T09:47:58.339000+00:00,9599,1246
502.9,8.0,4,2024-09-20T09:54:01.453000+00:00,9599,1246
534.9,8.0,1,2024-09-20T09:55:10.119000+00:00,9599,1246
599.8,8.0,44,2024-09-20T09:55:16.557000+00:00,9599,1246
704.2,8.0,20,2024-09-20T09:58:00.322000+00:00,9599,1246
492.2,11.0,77,2024-09-20T09:58:09.844000+00:00,9599,1246
372.9,10.0,23,2024-09-20T09:58:19.640000+00:00,9599,1246
641.5,10.0,24,2024-09-20T09:58:28.570000+00:00,9599,1246
611.8,9.0,27,2024-09-20T09:58:40.120000+00:00,9599,1246
413.4,10.0,43,2024-09-20T09:58:45.404000+00:00,9599,1246
349.4,12.0,16,2024-09-20T09:59:03.170000+00:00,9599,1246
461.2,11.0,22,2024-09-20T09:59:09.155000+00:00,9599,1246
644.1,10.0,63,2024-09-20T09:59:16.008000+00:00,9599,1246
376.3,12.0,55,2024-09-20T09:59:40.947000+00:00,9599,1246
540.6,11.0,14,2024-09-20T09:59:43.359000+00:00,9599,1246
729.9,9.0,11,2024-09-20T09:59:57.980000+00:00,9599,1246
33.3,11.0,4,2024-09-20T10:00:45.897000+00:00,9599,1246
337.8,8.0,81,2024-09-20T10:01:07.314000+00:00,9599,1246
603.1,12.0,10,2024-09-20T10:03:50.182000+00:00,9599,1246
40.4,12.0,27,2024-09-20T10:05:14.990000+00:00,9599,1246
35.0,15.0,16,2024-09-20T10:05:59.125000+00:00,9599,1246
625.8,13.0,31,2024-09-20T10:06:07.562000+00:00,9599,1246
33.1,15.0,55,2024-09-20T10:06:17.806000+00:00,9599,1246
424.6,11.0,1,2024-09-20T10:08:37.791000+00:00,9599,1246
1180.8,10.0,18,2024-09-20T10:08:47.856000+00:00,9599,1246
483.8,10.0,3,2024-09-20T10:09:30.440000+00:00,9599,1246
380.2,13.0,63,2024-09-20T10:11:26.642000+00:00,9599,1246
459.4,13.0,44,2024-09-20T10:13:26.370000+00:00,9599,1246
35.2,14.0,81,2024-09-20T10:13:27.746000+00:00,9599,1246
422.9,14.0,4,2024-09-20T10:13:35.708000+00:00,9599,1246
319.3,16.0,22,2024-09-20T10:15:27.916000+00:00,9599,1246
386.0,16.0,43,2024-09-20T10:17:39.124000+00:00,9599,1246
406.2,15.0,27,2024-09-20T10:17:50.810000+00:00,9599,1246
422.6,16.0,23,2024-09-20T10:17:57.326000+00:00,9599,1246
430.5,16.0,24,2024-09-20T10:18:04.151000+00:00,9599,1246
467.5,17.0,77,2024-09-20T10:18:16.690000+00:00,9599,1246
315.6,14.0,1,2024-09-20T10:19:09.644000+00:00,9599,1246
331.8,18.0,14,2024-09-20T10:19:38.566000+00:00,9599,1246
463.3,15.0,11,2024-09-20T10:20:15.392000+00:00,9599,1246
575.3,14.0,20,2024-09-20T10:20:58.322000+00:00,9599,1246
291.2,20.0,55,2024-09-20T10:21:19.126000+00:00,9599,1246
312.2,20.0,16,2024-09-20T10:21:30.714000+00:00,9599,1246
55.9,19.0,81,2024-09-20T10:22:30.153000+00:00,9599,1246
216.4,15.0,3,2024-09-20T10:23:06.746000+00:00,9599,1246
,1.0,24,2024-09-20T13:00:03.914000+00:00,9600,1246
,1.0,31,2024-09-20T13:00:05.036000+00:00,9600,1246
,1.0,77,2024-09-20T13:00:05.558000+00:00,9600,1246
,1.0,22,2024-09-20T13:00:08.205000+00:00,9600,1246
,1.0,10,2024-09-20T13:00:10.463000+00:00,9600,1246
,1.0,63,2024-09-20T13:00:14.253000+00:00,9600,1246
,1.0,3,2024-09-20T13:00:19.397000+00:00,9600,1246
,1.0,23,2024-09-20T13:00:23.953000+00:00,9600,1246
,1.0,43,2024-09-20T13:00:31.303000+00:00,9600,1246
,1.0,4,2024-09-20T13:00:37.038000+00:00,9600,1246
,1.0,1,2024-09-20T13:00:51.927000+00:00,9600,1246
,1.0,81,2024-09-20T13:00:56.974000+00:00,9600,1246
,1.0,16,2024-09-20T13:01:00.206000+00:00,9600,1246
,1.0,18,2024-09-20T13:01:03.576000+00:00,9600,1246
,1.0,11,2024-09-20T13:01:11.233000+00:00,9600,1246
,1.0,44,2024-09-20T13:01:20.673000+00:00,9600,1246
,1.0,14,2024-09-20T13:01:22.872000+00:00,9600,1246
,1.0,20,2024-09-20T13:01:27.309000+00:00,9600,1246
,1.0,27,2024-09-20T13:01:28.446000+00:00,9600,1246
,1.0,55,2024-09-20T13:01:32.329000+00:00,9600,1246
34.2,6.0,63,2024-09-20T13:11:55.686000+00:00,9600,1246
286.8,4.0,11,2024-09-20T13:12:22.636000+00:00,9600,1246
33.1,7.0,16,2024-09-20T13:14:19.866000+00:00,9600,1246
379.5,6.0,44,2024-09-20T13:18:24.855000+00:00,9600,1246
284.0,8.0,23,2024-09-20T13:19:37.624000+00:00,9600,1246
344.0,8.0,43,2024-09-20T13:20:17.740000+00:00,9600,1246
410.0,8.0,77,2024-09-20T13:20:47.678000+00:00,9600,1246
251.7,9.0,63,2024-09-20T13:21:45.203000+00:00,9600,1246
444.0,8.0,10,2024-09-20T13:22:09.940000+00:00,9600,1246
416.8,8.0,81,2024-09-20T13:22:29.512000+00:00,9600,1246
449.3,8.0,4,2024-09-20T13:22:41.926000+00:00,9600,1246
424.2,8.0,27,2024-09-20T13:22:45.518000+00:00,9600,1246
581.3,7.0,1,2024-09-20T13:22:57.793000+00:00,9600,1246
615.3,7.0,3,2024-09-20T13:23:13.311000+00:00,9600,1246
419.5,9.0,22,2024-09-20T13:23:19.576000+00:00,9600,1246
224.4,10.0,16,2024-09-20T13:23:52.148000+00:00,9600,1246
408.1,8.0,20,2024-09-20T13:23:58.117000+00:00,9600,1246
558.1,8.0,31,2024-09-20T13:24:24.584000+00:00,9600,1246
600.2,9.0,24,2024-09-20T13:25:49.087000+00:00,9600,1246
