brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2024-02-29T11:40:02.295000+00:00,14,12,1229,8,11030,9465,309,99
0,2024-02-29T11:41:55.935000+00:00,14,12,1229,8,10848,9465,304,99
0,2024-02-29T12:05:48.140000+00:00,14,12,1229,8,10788,9465,301,99
0,2024-02-29T11:45:59.976000+00:00,14,12,1229,8,11065,9465,310,99
0,2024-02-29T12:23:03.303000+00:00,14,12,1229,8,10872,9465,303,99
0,2024-02-29T12:19:00.782000+00:00,14,12,1229,8,10981,9465,308,99
0,2024-02-29T11:39:33.656000+00:00,16,12,1229,8,10795,9465,304,99
0,2024-02-29T12:10:45.821000+00:00,16,12,1229,8,10808,9465,305,99
0,2024-02-29T11:37:08.975000+00:00,16,12,1229,8,10753,9465,303,100
0,2024-02-29T11:37:07.014000+00:00,16,12,1229,8,10705,9465,302,100
0,2024-02-29T12:31:03.825000+00:00,16,12,1229,8,10751,9465,300,99
100,2024-02-29T12:04:48.820000+00:00,16,8,1229,7,11447,9465,301,94
0,2024-02-29T12:12:37.541000+00:00,16,12,1229,8,10759,9465,303,99
0,2024-02-29T12:04:33.740000+00:00,16,12,1229,8,10917,9465,309,99
0,2024-02-29T12:12:55.782000+00:00,16,12,1229,7,12025,9465,300,99
0,2024-02-29T11:33:29.734000+00:00,16,12,1229,8,10643,9465,300,100
0,2024-02-29T12:19:20.223000+00:00,18,12,1229,8,11039,9465,310,99
100,2024-02-29T12:19:36.623000+00:00,18,12,1229,8,10727,9465,301,99
0,2024-02-29T12:01:29.660000+00:00,18,12,1229,8,10916,9465,305,99
0,2024-02-29T11:40:12.535000+00:00,18,12,1229,8,10822,9465,302,99
0,2024-02-29T11:40:15.815000+00:00,18,12,1229,8,11040,9465,312,99
0,2024-02-29T12:23:26.424000+00:00,18,12,1229,8,11183,9465,313,99
0,2024-02-29T12:19:17.423000+00:00,18,12,1229,8,10808,9465,302,99
0,2024-02-29T12:05:22.220000+00:00,18,12,1229,8,10972,9465,307,99
0,2024-02-29T12:05:24.860000+00:00,18,12,1229,8,11119,9465,311,99
0,2024-02-29T12:23:25.984000+00:00,18,12,1229,8,11119,9465,312,99
0,2024-02-29T12:22:46.584000+00:00,20,12,1229,8,11209,9465,315,100
0,2024-02-29T12:22:45.424000+00:00,20,12,1229,8,11318,9465,317,100
0,2024-02-29T12:22:44.903000+00:00,20,12,1229,8,11280,9465,317,100
0,2024-02-29T12:22:42.863000+00:00,20,12,1229,8,10792,9465,303,100
0,2024-02-29T11:40:24.815000+00:00,20,8,1229,8,10665,9465,300,100
0,2024-02-29T11:40:24.415000+00:00,20,8,1229,8,10625,9465,300,100
0,2024-02-29T11:40:25.655000+00:00,20,8,1229,8,10692,9465,300,100
0,2024-02-29T12:22:43.903000+00:00,20,12,1229,8,11070,9465,310,100
0,2024-02-29T12:22:43.183000+00:00,20,12,1229,8,10932,9465,306,100
0,2024-02-29T12:22:47.664000+00:00,20,8,1229,8,10761,9465,302,0
0,2024-02-29T11:33:34.574000+00:00,22,12,1229,8,10755,9465,300,100
0,2024-02-29T12:03:38.620000+00:00,22,12,1229,8,10684,9465,300,100
0,2024-02-29T12:03:43.100000+00:00,22,10,1229,8,10944,9465,308,100
0,2024-02-29T11:45:49.577000+00:00,22,12,1229,8,10999,9465,309,100
0,2024-02-29T11:43:42.336000+00:00,22,12,1229,8,10603,9465,300,100
0,2024-02-29T12:10:28.422000+00:00,22,12,1229,8,10814,9465,305,100
0,2024-02-29T11:35:41.494000+00:00,22,12,1229,8,10903,9465,307,100
0,2024-02-29T11:45:48.897000+00:00,22,12,1229,8,10925,9465,308,100
